"","year","ubigeo","n","pop_landscan","malaria_incidence"
"423",2018,"160505",2,2937.8,0.680781537204711
"424",2018,"160506",3,522.3,5.74382538770821
"425",2018,"160507",16,4163.3,3.84310522902505
"426",2018,"160508",292,5798.8,50.3552459129475
"427",2018,"160509",3,894.7,3.35307924443948
"428",2018,"160510",5,4369.9,1.1441909425845
"429",2018,"160511",659,6612.9,99.6537071481498
"430",2018,"160603",3,4442,0.675371454299865
"431",2018,"160604",3,3532.7,0.849208820448948
"432",2018,"160605",2,17868.7,0.111927560482856
"433",2018,"160606",5,5510.7,0.907325748090079
"434",2018,"160701",175,13492.4,12.9702647416323
"435",2018,"160702",80,2575.1,31.0667546891383
"436",2018,"160703",293,11147.8,26.2832128312313
"437",2018,"160704",919,5559.1,165.314529330287
"438",2018,"160705",2782,6167.4,451.081493011642
"439",2018,"160706",7281,7582.5,960.237388724036
"440",2018,"160801",70,4782.5,14.636696288552
"441",2018,"160802",9,1808.1,4.97760079641613
"442",2018,"160803",204,1701.8,119.873075567047
"443",2018,"160804",76,3799.7,20.001579072032
"444",2019,"160101",721,150253.6,4.79855391152026
"445",2019,"160102",727,4775.5,152.235368024291
"446",2019,"160103",36,13013.9,2.76627298503907
"447",2019,"160104",54,15086.2,3.57943020773952
"448",2019,"160105",12,4053,2.96076980014804
"449",2019,"160106",618,21398.8,28.8801241191095
"450",2019,"160107",596,6549.3,91.0020918266074
"451",2019,"160108",576,92267.8,6.24269788593637
"452",2019,"160110",123,1958.9,62.790341518199
"453",2019,"160112",108,31086.1,3.47422159743422
"454",2019,"160113",1578,114624.4,13.7667023775043
"455",2019,"160201",81,76899.3,1.05332558293769
"456",2019,"160202",640,2128,300.751879699248
"457",2019,"160206",144,16240.1,8.86694047450447
"458",2019,"160210",1,4712.9,0.212183581234484
"459",2019,"160211",4,6416.6,0.623383100084157
"460",2019,"160301",262,16222.4,16.150507939639
"461",2019,"160302",25,2090.3,11.9600057408028
"462",2019,"160303",1964,9435.7,208.145659569507
"463",2019,"160304",1974,22001.2,89.7223787793393
"464",2019,"160305",844,10890.6,77.4980258204323
"465",2019,"160401",593,12590.5,47.099003216711
"466",2019,"160402",66,9342.9,7.06418777895514
"467",2019,"160403",821,13082.5,62.7555895279954
"468",2019,"160404",34,11167.5,3.04454891426013
"469",2019,"160501",8,11254.8,0.710807833102321
"470",2019,"160502",48,1094.4,43.859649122807
"471",2019,"160503",2,1199.2,1.66777851901268
"472",2019,"160504",9,4833.4,1.86204328216163
"473",2019,"160507",7,3991.7,1.75363880051106
"474",2019,"160508",138,4924.3,28.0242877160205
"475",2019,"160510",1,3701.5,0.270160745643658
"476",2019,"160511",508,5569.2,91.2159735689147
"477",2019,"160601",1,20814.1,0.0480443545481188
"478",2019,"160605",3,20278.3,0.14794139548187
"479",2019,"160701",168,12877.3,13.0462131036786
"480",2019,"160702",252,2451.6,102.790014684288
"481",2019,"160703",372,10693.2,34.7884636965548
"482",2019,"160704",351,5520.1,63.585804604989
"483",2019,"160705",1328,6157.8,215.661437526389
"484",2019,"160706",5721,9075,630.413223140496
"485",2019,"160801",99,4027.5,24.5810055865922
"486",2019,"160802",1,1486.5,0.67272115708039
"487",2019,"160803",216,1747.6,123.598077363241
"488",2019,"160804",192,3421.6,56.1140986672902
"489",2020,"160101",207,145333.4,1.42431127325171
"490",2020,"160102",274,2770.6,98.8955460910994
"491",2020,"160103",6,10903.6,0.550276972742947
"492",2020,"160104",9,13685.6,0.657625533407377
"493",2020,"160105",15,6773,2.21467591909051
"494",2020,"160106",486,18707,25.9795798364249
"495",2020,"160107",465,10974.4,42.3713369295816
"496",2020,"160108",232,89616.5,2.58880898048908
"497",2020,"160110",38,4556,8.34064969271291
"498",2020,"160112",30,28937.9,1.03670273240284
"499",2020,"160113",425,127341,3.33749538640344
"500",2020,"160201",135,72995.7,1.84942400716755
"501",2020,"160202",274,15035.1,18.224022454124
"502",2020,"160206",35,12495.1,2.80109803042793
"503",2020,"160210",23,3711.6,6.19678844703093
"504",2020,"160211",3,5178.4,0.579329522632473
"505",2020,"160301",167,18976.1,8.80054384199072
"506",2020,"160302",25,3726.2,6.70924802748108
"507",2020,"160303",1216,8917.7,136.358029536764
"508",2020,"160304",1229,17525.7,70.1255869950986
"509",2020,"160305",613,11204.2,54.7116259973938
"510",2020,"160401",175,13360.6,13.098214152059
"511",2020,"160403",302,8671.5,34.8267312460359
"512",2020,"160404",13,15246.2,0.852671485353727
"513",2020,"160501",10,13605.7,0.734986072013935
"514",2020,"160502",58,981.1,59.1173172969116
"515",2020,"160504",1,4633.4,0.215824232744853
"516",2020,"160506",2,3031.3,0.659782931415564
"517",2020,"160508",61,1903.1,32.0529662130209
"518",2020,"160509",14,613.7,22.8124490793547
"519",2020,"160511",471,4102.7,114.802447168938
"520",2020,"160601",1,21168.4,0.0472402259972412
"521",2020,"160701",84,12497,6.72161318716492
"522",2020,"160702",29,5770.9,5.02521270512398
"523",2020,"160703",290,11027.8,26.2971762273527
"524",2020,"160704",602,5464.2,110.171662823469
"525",2020,"160705",1275,5399.6,236.128602118675
"526",2020,"160706",3868,7012.6,551.578587114622
"527",2020,"160801",53,3280.8,16.1545964398927
"528",2020,"160802",1,1025.3,0.975324295328197
"529",2020,"160803",116,3439.4,33.7268128161889
"530",2020,"160804",64,2421.5,26.4298988230436
"531",2021,"160101",122,131591.8,0.927109439949906
"532",2021,"160102",383,2435.7,157.244324013631
"533",2021,"160103",13,15706.4,0.827688076198238
"534",2021,"160104",6,16746.3,0.358288099460776
"535",2021,"160105",4,7294.4,0.548365869708269
"536",2021,"160106",385,23037.7,16.7117377168728
"537",2021,"160107",220,14235.8,15.4539962629427
"538",2021,"160108",365,84617.2,4.31354381851444
"539",2021,"160110",186,5725.2,32.4879480192832
"540",2021,"160112",28,30281,0.924672236716093
"541",2021,"160113",370,121913.6,3.03493621712426
"542",2021,"160201",109,72801.9,1.49721367162121
"543",2021,"160202",495,11266.6,43.9351712140309
"544",2021,"160206",46,11570.7,3.97555895494655
