"year","ubigeo","enfermedad","n","pop_landscan","malaria_incidence"
2013,"160801",1,13,3954.2,3.28764351828436
2013,"160803",0,1,3589.2,0.278613618633679
2014,"160101",0,3152,195967.8,16.0842750696798
2014,"160101",1,404,195967.8,2.0615631751747
2014,"160102",0,1898,6576.4,288.607748920382
2014,"160102",1,489,6576.4,74.3567909494556
2014,"160103",0,224,4747.3,47.1847155225075
2014,"160103",1,7,4747.3,1.47452236007836
2014,"160104",0,277,3925.2,70.5696525017834
2014,"160104",1,19,3925.2,4.84051768062774
2014,"160105",0,151,2814.3,53.6545499769037
2014,"160105",1,6,2814.3,2.13196887325445
2014,"160106",0,1734,3822.4,453.641691084136
2014,"160106",1,235,3822.4,61.4796986186689
2014,"160107",0,2986,8867.7,336.727674594314
2014,"160107",1,243,8867.7,27.4028214756927
2014,"160108",0,3129,107137.3,29.2055147927006
2014,"160108",1,423,107137.3,3.94820478022127
2014,"160110",0,546,2766.2,197.382691056323
2014,"160110",1,4,2766.2,1.44602704070566
2014,"160112",0,593,29568.2,20.0553297123261
2014,"160112",1,62,29568.2,2.09684728864118
2014,"160113",0,9569,125931.3,75.9858748381062
2014,"160113",1,1124,125931.3,8.92550144404131
2014,"160201",0,547,64385.4,8.49571486703507
2014,"160201",1,22,64385.4,0.341692371251868
2014,"160202",0,54,2311.8,23.3584220088243
2014,"160206",0,402,18001.9,22.3309761747371
2014,"160206",1,90,18001.9,4.99947227792622
2014,"160210",0,4,2241,1.78491744756805
2014,"160211",0,4,5033.5,0.794675672990961
2014,"160301",0,1661,16765.5,99.0725000745579
2014,"160301",1,129,16765.5,7.69437237183502
2014,"160302",0,288,5755,50.0434404865334
2014,"160302",1,31,5755,5.3866203301477
2014,"160303",0,2915,11002.3,264.944602492206
2014,"160303",1,2271,11002.3,206.411386710052
2014,"160304",0,2162,21106.2,102.434355781713
2014,"160304",1,587,21106.2,27.8117330452663
2014,"160305",0,1845,6708.7,275.016023968876
2014,"160305",1,962,6708.7,143.395888920357
2014,"160401",0,1754,12319.6,142.374752427027
2014,"160401",1,107,12319.6,8.68534692684827
2014,"160402",0,486,13059.1,37.215428322013
2014,"160402",1,33,13059.1,2.52697352803792
2014,"160403",0,2414,12684.1,190.317011061092
2014,"160403",1,217,12684.1,17.1080328915729
2014,"160404",0,227,14474.1,15.6831858284798
2014,"160404",1,13,14474.1,0.898156016608977
2014,"160501",0,108,18318,5.8958401572224
2014,"160501",1,5,18318,0.272955562834371
2014,"160502",0,334,3370.1,99.106851428741
2014,"160502",1,107,3370.1,31.7497997092074
2014,"160503",0,5,1537.2,3.25266718709342
2014,"160503",1,1,1537.2,0.650533437418683
2014,"160504",0,23,5719.2,4.02154147433207
2014,"160505",0,11,5738.4,1.91691063711139
2014,"160506",0,3,3178.1,0.943960227809068
2014,"160506",1,1,3178.1,0.314653409269689
2014,"160507",0,15,1248.4,12.0153796859981
2014,"160508",0,282,1462.4,192.833698030635
2014,"160508",1,24,1462.4,16.4113785557987
2014,"160509",0,66,1337.3,49.3531743064383
2014,"160509",1,6,1337.3,4.48665220967621
2014,"160510",0,11,5980.2,1.83940336443597
2014,"160510",1,1,5980.2,0.167218487675997
2014,"160511",0,504,4659.1,108.175398682149
2014,"160511",1,80,4659.1,17.1706982035157
2014,"160601",0,9,28767.9,0.312848695942352
2014,"160603",0,1,5379.1,0.18590470524809
2014,"160604",0,4,5311.2,0.753125470703419
2014,"160605",0,1,16437.6,0.0608361317953959
2014,"160606",0,1,6094.5,0.164082369349413
2014,"160701",0,135,10299.1,13.1079414706139
2014,"160701",1,2,10299.1,0.194191725490577
2014,"160702",0,3,3050.9,0.983316398439805
2014,"160703",0,167,9847.3,16.9589633706701
2014,"160703",1,3,9847.3,0.304652036598865
2014,"160704",0,777,6829.5,113.771139907753
2014,"160704",1,54,6829.5,7.90687458818362
2014,"160705",0,2859,9579.8,298.440468485772
2014,"160705",1,846,9579.8,88.3108206851918
2014,"160706",0,5302,8914.7,594.748000493567
2014,"160706",1,1726,8914.7,193.612796841172
2014,"160801",0,1067,3980.8,268.036575562701
