"year","ubigeo","index","estimate","se"
2020,"160113","edu",0.832365065785341,0.021276448910386
2020,"160201","edu",0.833472085939074,0.0186273751860291
2020,"160202","edu",0.688025630903097,0.0502704666345702
2020,"160205","edu",0.825861223172914,6.03683769639928e-16
2020,"160206","edu",0.760266925919948,9.03790930983913e-16
2020,"160210","edu",0.654392429242411,1.04256880906206e-15
2020,"160211","edu",0.615201089573998,1.21430643318376e-16
2020,"160301","edu",0.793606728539383,0.0383707918451227
2020,"160304","edu",0.756224672825211,1.32879818259824e-15
2020,"160305","edu",0.807702110016924,2.32452945780891e-16
2020,"160401","edu",0.767767393934519,0.038015383601545
2020,"160403","edu",0.816947260257328,2.68882138776404e-16
2020,"160501","edu",0.799547650597384,0.0368349369099702
2020,"160504","edu",0.860038611505667,6.32306706993543e-16
2020,"160505","edu",0.734258309781061,4.00721122950642e-16
2020,"160507","edu",0.821836377848717,1.61849700308636e-15
2020,"160510","edu",0.765118215098137,2.11636264069171e-16
2020,"160511","edu",0.775885539972242,5.90673343570102e-16
2020,"160601","edu",0.777586002813586,0.0136411448038852
2020,"160602","edu",0.776126847460533,1.11022302462516e-16
2020,"160603","edu",0.819163102808649,5.3776427755281e-17
2020,"160605","edu",0.758186822772163,0.0232839721209002
2020,"160701","edu",0.793687071887042,0.0518869789134396
2020,"160703","edu",0.674570720008197,2.39391839684801e-16
2020,"160704","edu",0.617720478886211,2.51534904016638e-16
2020,"160706","edu",0.584715811449085,0.0519858746765938
2020,"160801","edu",0.849001621856211,4.87457296749483e-16
2010,"160101","wi",0.295522070080942,0.0784060688193351
2010,"160103","wi",1.00000000000001,4.52652211444545e-15
2010,"160107","wi",1,3.10862446895044e-15
2010,"160108","wi",0.544161015720459,0.219439218684202
2010,"160112","wi",0.628289372063295,0.196559316014803
2010,"160113","wi",0.674262654705512,0.145091553317431
2010,"160201","wi",0.727272727272729,1.99232991215936e-15
2010,"160206","wi",0.999999999999998,2.44249065417533e-15
2010,"160301","wi",0.811460009448484,0.107311442339616
2010,"160302","wi",0.999999999999996,3.88578058618803e-15
2010,"160305","wi",0.999999999999999,1.11022302462516e-15
2010,"160403","wi",1,3.10862446895043e-15
2010,"160404","wi",1,6.66133814775094e-16
2010,"160501","wi",0.952521857279607,0.0248551737096526
2010,"160504","wi",1,0
2010,"160601","wi",0.981818181818186,3.89532156530592e-15
2010,"160604","wi",0.91666666666667,3.06872582900297e-15
2010,"160606","wi",0.829457364341087,1.31795616087338e-15
2010,"160704","wi",1,1.99840144432528e-15
2012,"160101","wi",0.244039104013566,0.0595885104660938
2012,"160106","wi",1,3.77475828372555e-15
2012,"160107","wi",0.999999999999997,2.8865798640254e-15
2012,"160108","wi",0.497251898770324,0.185136931356551
2012,"160112","wi",0.73586067160616,0.0439554067988579
2012,"160113","wi",0.589264469133853,0.121022337983261
2012,"160201","wi",0.800027818927839,0.102268514864125
2012,"160205","wi",0.999999999999998,2.44249065417535e-15
2012,"160206","wi",0.999999999999995,4.88498130835068e-15
2012,"160211","wi",0.999999999999997,2.88657986402541e-15
2012,"160301","wi",1,4.44089209850063e-16
2012,"160304","wi",0.79591836734694,1.26287869051112e-15
2012,"160401","wi",0.999999999999998,2.33146835171283e-15
2012,"160402","wi",1,4.44089209850063e-16
2012,"160404","wi",0.752475247524753,5.79397640976254e-16
2012,"160501","wi",0.89308176100629,9.11380346191315e-16
2012,"160506","wi",1.00000000000001,5.32907051820078e-15
2012,"160507","wi",0.999999999999999,8.88178419700125e-16
2012,"160510","wi",0.999999999999998,2.44249065417534e-15
2012,"160601","wi",0.772576985375093,0.14255915218568
2012,"160701","wi",0.733333333333333,6.93889390390723e-18
2012,"160702","wi",0.999999999999995,4.9960036108132e-15
2012,"160703","wi",1,3.99680288865058e-15
2012,"160704","wi",0.982456140350878,5.30716963431654e-16
2014,"160101","wi",0.407307435981283,0.125793917523179
2014,"160103","wi",0.999999999999999,1.11022302462516e-15
2014,"160104","wi",0.999999999999999,7.77156117237607e-16
2014,"160105","wi",0.999999999999999,9.99200722162641e-16
2014,"160108","wi",0.667209755417392,0.147927826351118
2014,"160112","wi",0.742255096565443,0.108626228051082
2014,"160113","wi",0.742151781749932,0.0691001951645587
2014,"160201","wi",0.479270486484238,0.0330189346867926
2014,"160202","wi",1,4.44089209850063e-16
2014,"160301","wi",0.937912550452758,0.0408284216372918
2014,"160303","wi",0.999999999999999,1.4432899320127e-15
2014,"160402","wi",0.906779661016949,8.50014503228636e-17
2014,"160403","wi",0.999999999999999,1.22124532708767e-15
2014,"160404","wi",0.999999999999997,2.77555756156288e-15
2014,"160501","wi",0.86095741658064,0.0891112472270701
2014,"160504","wi",0.999999999999999,7.77156117237608e-16
2014,"160505","wi",0.999999999999998,2.44249065417536e-15
2014,"160601","wi",0.999999999999999,1.4432899320127e-15
2014,"160605","wi",0.999999999999999,1.11022302462515e-15
2014,"160606","wi",0.666666666666667,1.62196645003832e-16
2014,"160703","wi",0.999999999999997,2.8865798640254e-15
2014,"160706","wi",0.999999999999999,8.88178419700125e-16
2014,"160803","wi",1,1.77635683940025e-15
2016,"160101","wi",0.271899108204539,0.0373213749644834
2016,"160104","wi",0.999999999999996,2.66135225448438e-15
2016,"160105","wi",0.999999999999999,6.37103832253227e-16
2016,"160106","wi",0.999999999999995,2.80620329540248e-15
2016,"160107","wi",1,1.097755766499e-15
2016,"160108","wi",0.663608844219145,0.0962439153244368
2016,"160112","wi",0.85738789986056,0.0714953410655813
2016,"160113","wi",0.649434117639075,0.0648876268834057
2016,"160201","wi",0.729756410034349,0.07631506466169
2016,"160202","wi",1,9.8267164966393e-16
2016,"160206","wi",0.999999999999998,1.99840144432528e-15
2016,"160301","wi",0.963820789459423,0.0204914249032731
2016,"160303","wi",1,2.22044604925031e-16
2016,"160304","wi",0.999999999999999,8.88178419700124e-16
2016,"160401","wi",0.999999999999996,2.04742658330162e-15
2016,"160402","wi",0.797923762163502,9.83588210878846e-16
2016,"160404","wi",0.976670026656066,0.024003779964533
2016,"160501","wi",0.886140797050289,0.0869862004845182
2016,"160601","wi",0.905485061865511,0.0250603528107593
2016,"160603","wi",0.999999999999998,1.14531723869354e-15
2016,"160604","wi",0.999999999999999,1.22124532708767e-15
2016,"160605","wi",0.977713434583446,0.0128039007698294
2016,"160701","wi",0.779048399641894,0.197636386731071
2016,"160702","wi",0.999999999999999,1.4432899320127e-15
2016,"160703","wi",0.999999999999999,1.22124532708767e-15
2016,"160704","wi",1,2.81793581282792e-15
2018,"160101","wi",0.411044036099558,0.06408168568965
2018,"160103","wi",0.965560268873021,0.0303053085077038
2018,"160104","wi",1,2.50479557719144e-15
2018,"160105","wi",1,1.99840144432528e-15
2018,"160106","wi",1,1.50892642253131e-15
2018,"160108","wi",0.716010890932821,0.0723738096309229
2018,"160110","wi",1,2.89498735459725e-15
2018,"160112","wi",0.757259404061324,0.0991953597223923
2018,"160113","wi",0.700046385024564,0.0619501319644115
2018,"160201","wi",0.729859030649528,0.0928728565053695
2018,"160202","wi",1,1.77635683940025e-15
2018,"160205","wi",1,1.55431223447522e-15
2018,"160206","wi",1,0
2018,"160210","wi",0.999999999999999,7.77156117237611e-16
2018,"160211","wi",1,2.15992312358878e-15
